Task Name,Task ID,Use Case,Target,CC:,Milestone Task,Deprel,Task Dependent,Float,Development Notes,Additional Notes,Task Description,MStone,,
Request HOA Docs (To Be Automated),95,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Seller,Agent,,FS,115,-5,"Should be related to the wizard checkbox in the ""Timelines"" step. If answer is ""no"", this task does not populate.","This task is to populate, instead of task 90 & 100 when ""Both"" is selected for the agent representative.","Check the document center to see if the Homeowners Association (HOA) documents have been uploaded. If they have not, call the Seller to request the HOA docs and send a follow up email.",,,
Request HOA Docs (To Be Automated),100,"Sell-Fin, Sell-Cash",Seller,Agent,,FS,120,-5,"Should be related to the wizard checkbox in the ""Timelines"" step. If answer is ""no"" this task does not populate.","If ""Both"" is selected, this task instance does not populate.","Check the document center to see if the Homeowners Association (HOA) documents have been uploaded. If they have not, call the Seller to request the HOA docs and send a follow up email.",,,
Deliver HOA Docs (To Be Automated),110,"Buy-Fin, Buy-Cash",Buyer,,,FS,5,# of Days for HOA Doc Delivery Period entered in the wizard,"Should be related to the wizard checkbox in the ""Timelines"" step. If answer is ""no"" this task does not populate.","If ""Both"" is selected, this task instance does not populate.","Confirm that the HOA docs have been uploaded to the document center. If they are present:

1. Send a thank you email to the listing agent to acknowledge that the docs have been received.
2. Email a copy of the docs to the buyer.
If you are unable to complete the task, reschedule it to follow up again tomorrow.
",,,
Deliver HOA Docs (To Be Automated),115,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Buyer,,,FS,5,# of Days for HOA Doc Delivery Period entered in the wizard,"This task is to populate, instead of task 110 & 120 when ""Both"" is selected for the agent representative.",,"Confirm that the HOA docs have been uploaded to the document center. If they are present, email a copy of the docs to the buyer. 
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,
Deliver HOA Docs (To Be Automated),120,"Sell-Fin, Sell-Cash",Co-op Agent,,,FS,5,# of Days for HOA Doc Delivery Period entered in the wizard,"Should be related to the wizard checkbox in the ""Timelines"" step. If answer is ""no"" this task does not populate.","If ""Both"" is selected, this task instance does not populate.","Confirm that the HOA docs have been uploaded to the document center. If they are present, email a copy of the docs to the buyer. 
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,
Request Utility Info (To Be Automated),130,"Buy-Fin, Buy-Cash",Co-op Agent,Agent,,SS,1000,-12,,"If ""Both"" is selected, this task instance does not populate.","Check the document center to see if utility information has been uploaded. If it hasn’t, call the listing agent to request the utility information and send a follow up email.",,,
Request Utility Info (To Be Automated),135,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Seller,Agent,,SS,1000,-12,"This task is to populate, instead of task 130 & 140 when ""Both"" is selected for the agent representative.",,"Check the document center to see if utility information has been uploaded. If it hasn’t, call the seller to request the utility information and send a follow up email.",,,
Request Utility Info (To Be Automated),140,"Sell-Fin, Sell-Cash",Seller,Agent,,SS,1000,-12,,"If ""Both"" is selected, this task instance does not populate.","Check the document center to see if utility information has been uploaded. If it hasn’t, call the seller to request the utility information and send a follow up email.",,,
Deliver Utility Info (To Be Automated),150,"Buy-Fin, Buy-Cash",Buyer,,,FS,130,0,,"If ""Both"" is selected, this task instance does not populate.","Confirm that the utility information is either in the document center or has been provided by the listing agent in a message in the overview tab. If the utility information has been received:
1. Send a thank you email to the listing agent to acknowledge that the utility information has been received.
2. Email the information to the buyer.
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,
Deliver Utility Info (To Be Automated),155,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Buyer,,,FS,135,0,"This task is to populate, instead of task 150 & 160 when ""Both"" is selected for the agent representative.",,"Confirm that the utility information is either in the document center or has been provided by the seller in a message in the overview tab. If the utility information has been received:
1. Send a thank you email to the seller to acknowledge that the utility information has been received.
2. Email the information to the buyer.
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,
Deliver Utility Info (To Be Automated),160,"Sell-Fin, Sell-Cash",Seller,Agent,,FS,140,0,,"If ""Both"" is selected, this task instance does not populate.","Confirm that the utility information is either in the document center or has been provided by the seller in a message in the overview tab. If the utility information has been received:
1. Send a thank you email to the seller to acknowledge that the utility information has been received.
2. Email the information to the buyer.
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,
Order Home Warranty,170,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Home Warranty Company,,,SS,1000,-12,This task only populates if the person we represent (Buyer or Seller) is responsible to order the home warranty. (This task is dependent to the answer to the question of who orders home warranty in the wizard),"If answer is ""no"", this task does not populate.",Order the home warranty and send the invoice to the title company. ,,,
Confirm Home Warranty Order (To Be Automated),180,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Co-op Agent,,,SS,1000,-12,This task only populates if the person we represent (Buyer or Seller) is NOT responsible to order the home warranty. (This task is dependent to the answer to the question of who orders home warranty in the wizard),"If answer is ""no"", this task does not populate.","Follow up with the agent to make sure the home warranty was ordered and that the invoice was sent to the title company. 
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,"If ""Both"" is selected, this task instance does not populate.",
Insurance Reminder  (To Be Automated),200,"Buy-Fin, Buy-Cash",Buyer,Agent,,SS,5,# of Days for homeowner's commitment entered in the wizard,,,Call the buyer and remind them to secure homeowner’s insurance. Send a follow up email.,,,
Inspection Scheduled,210,"Buy-Fin, Buy-Cash",Buyer,,Inspection Scheduled,FS,5,1,(This task is dependent on the answer to the question on inspection question in the wizard),"If answer is ""no"" this task does not populate.","Call the buyer and ask if the inspection has been scheduled. If the inspection has been scheduled, complete the task and enter the inspection date and time. Send a follow up email to the buyer. If you are unable to confirm the inspection date and time, reschedule this task to follow up again tomorrow. ",,"If ""Both"" is selected, this task instance does not populate.",
Inspection Scheduled,215,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Buyer,,Inspection Scheduled,FS,5,1,"If ""Both"" is selected for the Agent Rep, then only one task instance is created.","If the answer is ""no"" in the wizard, this task does not populate.","Call the buyer and ask if the inspection has been scheduled. If the inspection has been scheduled, complete the task and enter the inspection date and time. Send a follow up email to the buyer. If you are unable to confirm the inspection date and time, reschedule this task to follow up again tomorrow. ",,,
Inspection Scheduled,220,"Sell-Fin, Sell-Cash",Seller,,Inspection Scheduled,FS,5,3,,"If the answer is ""no"" in the wizard, this task does not populate.","If the inspection has been scheduled, enter the date and time for the inspection and send an email to the seller to notify them. If you have not received a date and time for the inspection, reschedule this task for the day after the inspection response is due.",,,
Inspection Completed,230,"Buy-Fin, Buy-Cash",Buyer,Agent,,FS,"210, 215, 220","Task matures on date entered upon task completion of 210, 215 or 220.","This task populates if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""Yes."" ","This task does not populate if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""no."" ",Call the buyer to follow up to confirm that the inspection was completed as scheduled. ,,,
Inspection Response Reminder (To Be Automated),240,"Buy-Fin, Buy-Cash",Agent,,,FS,5,# of Days for inspection response entered in wizard,"This task populates if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""Yes."" ","This task does not populate if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""no."" ","The deadline for the inspection response for this transaction is tomorrow. If you have not done so already, deliver the buyer’s inspection response to the listing agent or submit a written request for an extension. If you have done this, complete the task. If you have not, reschedule the task for later today. ",,,
Inspection Response Reminder (To Be Automated),245,"Sell-Fin, Sell-Cash",Agent,,,FS,5,# of Days for inspection response entered in wizard,"This task populates if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""Yes."" ","This task does not populate if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""no."" ","The deadline for the inspection response for this transaction is tomorrow. If you have not received the buyer's inspection response be on the lookout for it. If you have, please reschedule this task for the date provided on the buyer's inspection response.  If you do not need to respond you can complete the task.",,,
Inspection Negotiated,250,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Agent,,Inspection Complete,FS,240,,"This task populates if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""Yes."" ","This task does not populate if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""no."" ","If the inspection has been successfully negotiated, complete this task to notify the buyer of the completed milestone on their transaction. If the inspection is still being negotiated, reschedule this task for when it is expected to be completed.",,,
Inspection Negotiated,255,"Buy-Fin, Buy-Cash",Agent,,Inspection Complete,FS,240,,"This task populates if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""Yes."" ","This task does not populate if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""no."" ","If the inspection has been successfully negotiated, complete this task to notify the buyer of the completed milestone on their transaction. If the inspection is still being negotiated, reschedule this task for when it is expected to be completed.",,,
Inspection Negotiated,257,"Sell-Fin, Sell Cash",Agent,,Inspection Complete,FS,245,,"This task populates if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""Yes."" ","This task does not populate if the answer to the wizard question ""Is the buyer getting a home inspection?"" is ""no."" ","If the inspection has been successfully negotiated, complete this task to notify the seller of the completed milestone on their transaction. If the inspection is still being negotiated, reschedule this task for when it is expected to be completed.",,,
Appraisal Ordered (To Be Automated),260,"Buy-Fin, Sell-Fin",Loan Officer,"Agent, Co-op Agent",Appraisal Ordered,FS,5,3,Only notify the Buyer/Seller that is being represented by VE.,"If ""Both"" is selected, only one task instance is created.","Call the loan officer and ask if the appraisal has been ordered and when it is expected to be complete. If the appraisal has not been ordered, reschedule the task for the following day, or for when the loan officer says the appraisal will be ordered. If the appraisal has been ordered, complete the task.",,,
Appraisal Ordered (To Be Automated),265,"Buy Cash, Sell Cash",,"Agent, Co-op Agent",Appraisal Ordered,FS,5,3,Only notify the Buyer/Seller that is being represented by VE.,"If ""Both"" is selected, only one task instance is created.","If representing the seller, call coop agent to confirm apprasial has been ordered. If representing the buyer, call buyer and ensure apprasial has been ordered. ",,,
Appraisal Completed (To Be Automated),270,"Buy-Fin, Sell-Fin",Loan Officer,"Agent, Co-op Agent",Appraisal Completed,SS,1000,-15,Only notify the Buyer/Seller that is being represented by VE.,"If ""Both"" is selected, only one task instance is created.","Call the loan officer and ask if the appraisal has been completed and if there are any issues with it. If the appraisal has not been completed, reschedule the task for the following day, or for when the loan officer says the appraisal will be completed. If the appraisal is in, complete the task.",,Added a 7 day float on 20-NOV-2015,
Buyer Documentation (To Be Automated),280,Buy-Fin,Loan Officer,Agent,,SS,1000,-10,"If answer is ""no"" to financing, this task does not populate.",,"Call the Loan Officer and ask if the buyer needs to provide any additional documentation to the underwriter. Send a follow up email. 
If the buyer does not need to provide any additional documentation, complete the task. If the buyer does need to provide additional documentation, call the buyer to request that the documents be sent to the loan officer and send a follow up email.  If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,
Title Work Completed (To Be Automated),290,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Title,,,FS,"70,80",14,"If ""Both"" is selected, only one task instance is created.",Added a 4 day float on 20-NOV-2015.,"Check the document center to see if title work has been uploaded.  If the title work has been completed, send a thank you email to the title rep.

If no title work has been uploaded, call the title company to find out when the title work will be completed. Reschedule the task for the following day or for when the title company says the title work will be completed. ",,"Automate this task on the mature date. When the rep is sent an email, upon clicking one of the Reply buttons, they will be taken to the the appropriate reply screen.",
Deliver Title (To Be Automated),300,"Buy-Fin, Buy-Cash",Buyer,Agent,Title Work Completed,FS,290,0,,"If ""Both"" is selected, this task instance does not populate.","Once title work is received, click ""send email and complete task"" and attach the title work to send it to the buyer to review.",,Upon the title work being uploaded this task is automatically completed.,
Deliver Title (To Be Automated),305,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Buyer & Seller,Agent,Title Work Completed,FS,290,0,,,"Once title work is received, click ""send email and complete task"" and attach the title work to send it to the buyer and seller to review.",,Upon the title work being uploaded this task is automatically completed.,
Deliver Title (To Be Automated),310,"Sell-Fin, Sell Cash",Seller,Agent,Title Work Completed,FS,290,0,,"If ""Both"" is selected, this task instance does not populate.","Once title work is received, click ""send email and complete task"" and attach the title work to send it to the seller to review.",,Upon the title work being uploaded this task is automatically completed.,
Deliver Title to the Loan Officer (To Be Automated),320,"Buy-Fin, Sell-Fin",Loan Officer,,,FS,290,0,,"If ""Both"" is selected, only one task instance is created.","Once title work is received, click ""send email and complete task"" and attach the title work to send it to the loan officer to review.",,Upon the title work being uploaded this task is automatically completed.,
Clear to Close (To Be Automated),330,"Buy-Fin, Sell-Fin",Loan Officer,Agent,,SS,1000,-8,Only notify the Buyer/Seller that is being represented by VE.,"If ""Both"" is selected, only one task instance is created.","Call the loan officer to find out if the transaction has been cleared to close and when the closing disclosure will be sent to the buyer. If the file has not been cleared to close, reschedule task for the following day or for when the loan officer says the clear to close is expected. If the transaction has been cleared to close, email the buyer.",,"Automate this task on the mature date. When the rep is sent an email, upon clicking one of the Reply buttons, they will be taken to the the appropriate reply screen.",
Closing Disclosure Delivered (To Be Automated),340,"Buy-Fin, Sell-Fin",Loan Officer,Agent,,SS,1000,-6,,,Call the loan officer to ensure the final closing disclosure has been delivered and signed by the buyer.,,,
Schedule Closing,350,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Co-op Agent,,Closing Scheduled,SS,1000,-14,Only notify the Buyer/Seller that is being represented by VE.,"If ""Both"" is selected, only one task instance is created.","Confirm if the buyer is going to be doing a final walkthrough and what day/time they would like to do it. Confirm what time works best for all parties for the closing. Once the closing time is confirmed, call the title company and schedule the closing. Notify all parties via email of the walkthrough and closing times. 
Complete the task, enter the walkthrough time in the note section, enter the closing time in the time field.",,,
Closing Gift,370,"Buy-Fin, Buy-Cash",Agent,,,SS,1000,-10,,"If ""Both"" is selected, this task instance does not populate.","If you haven’t done so already, prepare a closing gift for the buyer.",,,
Closing Gift,375,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Agent,,,SS,1000,-10,,,"If you haven’t done so already, prepare a closing gift for the seller and buyer.",,,
Closing Gift,380,"Sell-Fin, Sell Cash",Agent,,,SS,1000,-10,,"If ""Both"" is selected, this task instance does not populate.","If you haven’t done so already, prepare a closing gift for the seller.",,,
Buyer Closing Information,420,"Buy-Fin, Buy-Cash",Buyer,,,SS,1000,-10,,,Send email with closing and walkthrough (if applicable) information to the buyer.  ,,,
Seller Closing Information,430,"Sell-Fin, Sell-Cash",Seller,,,SS,1000,-10,,,Send email with closing and walkthrough (if applicable) information to the seller.  ,,,
Seller's Agent Closing Information,440,"Buy-Fin, Buy-Cash",Co-op Agent,,,SS,1000,-10,"If ""Both"" is selected, this task instance does not populate.",,Send email with closing information to agent,,,
Buyer's Agent Closing Information,450,"Sell-Fin, Sell-Cash",Co-op Agent,,,SS,1000,-10,"If ""Both"" is selected, this task instance does not populate.",,Send email with closing information to agent,,,
Request Referrals  (To Be Automated),460,"Buy-Fin, Buy-Cash",Buyer,Agent,Closed,FS,1000,5,,,Send an email to the buyer to request social media and online referrals.,,,
Request Referrals (To Be Automated),470,"Sell-Fin, Sell-Cash",Seller,Agent,Closed,FS,1000,5,,,Send an email to the seller to request social media and online referrals.,,,
Exemptions and Thank You (To Be Automated),480,"Buy-Fin, Buy-Cash",Buyer,Agent,,FS,1000,35,,,Set reminder to send Thank You card 35 days later and include the exemption reminder,,,
Thank You (To Be Automated),490,"Sell-Fin, Sell-Cash",Seller,Agent,,FS,1000,35,,,Set reminder to send Thank You card 35 days later,,,
Internal Thank You (To Be Automated),500,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Agent,,,FS,1000,1,"If ""Both"" is selected, this task instance does not populate.",,Feedback & rating email to agents.,,,
Internal Thank You (To Be Automated),505,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Both,,,FS,1000,1,"This task is to populate, instead of task 500 & 510 when ""Both"" is selected for the agent representative.",,Feedback & rating email to agent.,,,
Internal Thank You (To Be Automated),510,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Co-op Agent,,,FS,1000,1,"If ""Both"" is selected, this task instance does not populate.",,Feedback & rating email to agents.,,,
Closing Date,1000,,,,,,,"Date of ""Closing Date"" in the Wizard",,,,,,
