Task Name,Task ID,Use Case,Target,CC:,Milestone Task,Deprel,Task Dependent,Float,AI User Types,Attachments,Development Notes,AI Logic,How to Complete this Task Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request HOA Docs,100,"Sell-Fin, Sell-Cash",Seller,"Agent, TC",,FS,120,-5,Assisted & Autopilot,,This task will populate based on the information parsed from the purcashe agreement. If there is no HOA then this task doesn't populate.,"Check the document center to see if the Homeowners Association (HOA) documents have been uploaded. If they have not, AI will request the HOA docs from the seller.","Check the document center to see if the Homeowners Association (HOA) documents have been uploaded. If they have not, email the Seller to request the HOA docs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver HOA Docs,110,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",,FS,5,# of Days for HOA Doc Delivery Period entered in the wizard,Assisted & Autopilot,HOA Docs,"When task 90 is completed, this task is created. Assisted will generate the email, Autopilot will deliver the HOA docs it received by completing task 90.",Deliver HOA docs to the target.,"Confirm that the HOA docs have been uploaded to the document center. If they are present, email a copy of the docs to the buyer. 
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver HOA Docs,120,"Sell-Fin, Sell-Cash",Co-op Agent,"Agent, TC",,FS,5,# of Days for HOA Doc Delivery Period entered in the wizard,Assisted & Autopilot,HOA Docs,"When task 100 is completed, this task is created. Assisted will generate the email, Autopilot will deliver the HOA docs it received by completing task 100.",Deliver HOA docs to the target.,"Confirm that the HOA docs have been uploaded to the document center. If they are present, email a copy of the docs to the buyer's agent. 
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request Utility Info,130,"Buy-Fin, Buy-Cash",Co-op Agent,"Agent, TC",,SS,1000,-12,Assisted & Autopilot,,,"Check the document center to see if the utility information has been uploaded. If they have not, AI will request the utility information from the listing agent.","Check the document center to see if utility information has been uploaded. If it hasn’t, email the listing agent to request the utility information and send a follow up email.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request Utility Info,140,"Sell-Fin, Sell-Cash",Seller,"Agent, TC",,SS,1000,-12,Assisted & Autopilot,,,"Check the document center to see if the utility information has been uploaded. If they have not, AI will request the utility information from the seller.","Check the document center to see if utility information has been uploaded. If it hasn’t, email the seller to request the utility information and send a follow up email.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Utility Info,150,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",,FS,130,0,Assisted & Autopilot,Utility Info,"When task 130 is completed, this task is created. Assisted will generate the email, Autopilot will deliver the utility info it received by completing task 130.",Deliver utility info to the target.,"Confirm that the utility information has been uploaded to the document center. If they are present, email a copy of the docs to the buyer. 
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Utility Info,160,"Sell-Fin, Sell-Cash",Co-op Agent,"Agent, TC",,FS,140,0,Assisted & Autopilot,Utility Info,"When task 140 is completed, this task is created. Assisted will generate the email, Autopilot will deliver the utility info it received by completing task 140.",Deliver utility info to the target.,"Confirm that the utility information have been uploaded to the document center. If they are present, email a copy of the docs to the buyer's agent. 
If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order Home Warranty,170,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Agent/TC,,,SS,1000,-12,"Manual, Assisted & Autopilot",,"This task only populates if the person we represent (Buyer or Seller) is responsible to order the home warranty. (This task is dependent to the answer to the question of who orders home warranty in the wizard) If answer is ""no"", this task does not populate.",,Order the home warranty and send the invoice to the title company and co agent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm Home Warranty Order,180,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Co-op Agent,,,SS,1000,-12,Assisted & Autopilot,,"This task only populates if the person we represent (Buyer or Seller) is NOT responsible to order the home warranty. (This task is dependent to the answer to the question of who orders home warranty in the wizard) If answer is ""no"", this task does not populate.",,"Follow up with the co agent to make sure the home warranty was ordered and that the invoice was sent to the title company. 
If you are unable to complete the task, reschedule it to follow up again tomorrow.", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance Reminder,200,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",,SS,5,# of Days for homeowner's commitment entered in the wizard,Assisted & Autopilot,,,,Email the buyer and remind them to secure homeowner’s insurance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection Scheduled,210,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",Inspection Scheduled,FS,5,1,Assisted & Autopilot,,This task only populates when the buyer is getting a home inspection. ,,Once the inspection is scheduled notate the date and time. , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection Scheduled,220,"Sell-Fin, Sell-Cash",Seller,"Agent, TC",Inspection Scheduled,FS,5,3,Assisted & Autopilot,,This task only populates when the buyer is getting a home inspection. ,Notify the seller the inspection has been scheduled. CC the transaction agent and TC.,Once the inspection is scheduled notate the date and time. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection Completed,230,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",,FS,"210, 220",Task matures on date entered upon task completion of 210 or 220.,Assisted & Autopilot,,This task matures on the day and time of the inspection.,Email the buyer 4 hours after the set inspection time to see how the inspection went. CC the transaction agent and TC.,Email the buyer to follow up to confirm that the inspection was completed as scheduled. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection Response Reminder,240,"Buy-Fin, Buy-Cash",Agent,TC,,FS,5,# of Days for inspection response entered in wizard,Assisted & Autopilot,,This task only populates when the buyer is getting a home inspection. ,,"The deadline for the inspection response for this transaction is tomorrow. If you have not done so already, deliver the buyer’s inspection response to the listing agent or submit a written request for an extension. If you have done this, complete the task.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection Response Reminder,245,"Sell-Fin, Sell-Cash",Agent,TC,,FS,5,# of Days for inspection response entered in wizard,Assisted & Autopilot,,This task only populates when the buyer is getting a home inspection. ,,"The deadline for the inspection response for this transaction is tomorrow. If you have not received the buyer's inspection response be on the lookout for it. If you have, reschedule this task for the response date on the buyer's inspection response.  If you do not need to respond you can complete the task.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection Negotiated,250,"Buy-Fin, Buy-Cash",Agent,TC,Inspection Complete,FS,240,,Assisted & Autopilot,,This task only populates when the buyer is getting a home inspection. ,,"If the inspection has been successfully negotiated, complete this task to notify your client of the completed milestone on their transaction. If the inspection is still being negotiated, reschedule this task for when it is expected to be completed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection Negotiated,255,"Sell-Fin, Sell-Cash",Agent,TC,Inspection Complete,FS,245,,Assisted & Autopilot,,This task only populates when the buyer is getting a home inspection. ,,"If the inspection has been successfully negotiated, complete this task to notify your client of the completed milestone on their transaction. If the inspection is still being negotiated, reschedule this task for when it is expected to be completed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appraisal Ordered,260,"Buy-Fin, Sell-Fin",Loan Officer,"Agent, Co-op Agent, TC",Appraisal Ordered,FS,5,3,Assisted & Autopilot,,,,"Email the loan officer and ask if the appraisal has been ordered and when it is expected to be complete. If the appraisal has not been ordered, reschedule the task for the following day, or for when the loan officer replies when the appraisal will be ordered. If the appraisal has been ordered, complete the task.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appraisal Ordered,265,Buy-Cash,Buyer,"Agent, TC",Appraisal Ordered,FS,5,3,Assisted & Autopilot,,This task only populates when the buyer is getting an appraisal. ,,"If representing the seller, call co-op agent to confirm apprasial has been ordered. If representing the buyer, call buyer and ensure apprasial has been ordered. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appraisal Ordered,267,Sell-Cash,Co-op Agent,"Agent, TC",Appraisal Ordered,FS,5,3,Assisted & Autopilot,,This task only populates when the buyer is getting an appraisal. ,,"Email the co-op agent and ask if the appraisal has been ordered and when it is expected to be complete. If the appraisal has not been ordered, reschedule the task for the following day, or for when the co-op agent replies when the appraisal will be ordered. If the appraisal has been ordered, complete the task.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appraisal Completed,270,"Buy-Fin, Sell-Fin",Loan Officer,"Agent, Co-op Agent, TC",Appraisal Completed,SS,1000,-15,Assisted & Autopilot,,This task only populates when the buyer is getting an appraisal. ,,"Email the loan officer and ask if the appraisal has been completed and if there are any issues with it. If the appraisal has not been completed, reschedule the task for the following day, or for when the loan officer says the appraisal will be completed. If the appraisal is in, complete the task.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appraisal Completed,271,Buy-Cash,Buyer,"Agent, TC",Apprasial Completed,SS,1000,-15,Assisted & Autopilot,,This task only populates when the buyer is getting an appraisal. ,,"Email the buyer and ask if the appraisal has been completed and if there are any issues with it. If the appraisal has not been completed, reschedule the task for the following day, or for when the buyer says the appraisal will be completed. If the appraisal is in, complete the task.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appraisal Completed,275,Sell-Cash,Co-op Agent,"Agent, TC",Appraisal Completed,SS,1000,-15,Assisted & Autopilot,,This task only populates when the buyer is getting an appraisal. ,,"Email the co-op agent and ask if the appraisal has been completed and if there are any issues with it. If the appraisal has not been completed, reschedule the task for the following day, or for when the co-op agent says the appraisal will be completed. If the appraisal is in, complete the task.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Documentation,280,Buy-Fin,Loan Officer,"Agent, TC",,SS,1000,-10,Assisted & Autopilot,,,,"Email the Loan Officer and ask if the buyer needs to provide any additional documentation to the underwriter. If the buyer does not need to provide any additional documentation, complete the task. If the buyer does need to provide additional documentation, email the buyer to request that the documents be sent to the loan officer.  If you are unable to complete the task, reschedule it to follow up again tomorrow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title Work Completed,290,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Title,"Agent, TC",,FS,"70,80",14,Assisted & Autopilot,,,,"Check the document center to see if title work has been uploaded.  If the title work has been completed, send a thank you email to the title rep. If no title work has been uploaded, email the title company to find out when the title work will be completed. Reschedule the task for the following day or for when the title company says the title work will be completed. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Title ,300,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",Title Work Completed,FS,290,0,Assisted & Autopilot,Title Commitment,Upon the title work being uploaded this task is automatically completed.,AI should parse the title policy and identify leins and judgements (and any additional title clouds) that are outstanding. Include those items in the delivery email to the target.  ,"Once title work is received, email the target and attach the title work to send it to the target to review.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Title,310,"Sell-Fin, Sell-Cash",Seller,"Agent, TC",Title Work Completed,FS,290,0,Assisted & Autopilot,Title Commitment,Upon the title work being uploaded this task is automatically completed.,AI should parse the title policy and identify leins and judgements (and any additional title clouds) against the seller that are outstanding. Include those items in the delivery email to the target.  ,"Once title work is received, email the target and attach the title work to send it to the target to review.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Title to the Loan Officer,320,"Buy-Fin, Sell-Fin",Loan Officer,"Agent, TC",,FS,290,0,Assisted & Autopilot,Title Commitment,Upon the title work being uploaded this task is automatically completed.,AI should parse the title policy and identify leins and judgements (and any additional title clouds) against the buyer that are outstanding. Include those items in the delivery email to the target.  ,"Once title work is received, email the target and attach the title work to send it to the target to review.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear to Close,330,"Buy-Fin, Sell-Fin",Loan Officer,"Co-op Agent, Agent, TC",,SS,1000,-8,Assisted & Autopilot,,,,"Email the loan officer to find out if the transaction has been cleared to close and when the closing disclosure will be sent to the buyer. If the file has not been cleared to close, reschedule the task for the following day or for when the loan officer replies when the clear to close is expected. If the transaction has been cleared to close, email your client.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closing Disclosure Delivered,340,"Buy-Fin, Sell-Fin",Loan Officer,"Co-op Agent, Agent, TC",,SS,1000,-6,Assisted & Autopilot,,,,"Email the loan officer to find out if the closing disclosure has been signed. If the closing disclosure has not been signed, reschedule the task for the following day or for when the loan officer replies when the closing disclosure is expected to be signed. If the closing disclosure has been signed, email your client.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule Closing,350,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Co-op Agent,"Agent, TC",Closing Scheduled,SS,1000,-14,Assisted & Autopilot,,,,"Confirm if the buyer will do a final walkthrough and what day/time they would like to do it. Confirm what closing time works best for all parties for. Once the closing time is confirmed, email the title company and request the closing time. Notify all parties via email of the walkthrough and closing times. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closing Gift,360,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Agent,TC,,SS,1000,-10,Assisted & Autopilot,,,,"If you haven’t done so already, prepare a closing gift for your client.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Closing Information,370,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",,SS,1000,-10,Assisted & Autopilot,Utility Info,,,Send email with closing and walkthrough (if applicable) information to the buyer.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seller Closing Information,380,"Sell-Fin, Sell-Cash",Seller,"Agent, TC",,SS,1000,-10,Assisted & Autopilot,,,,Send email with closing and walkthrough (if applicable) information to the seller.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seller's Agent Closing Information,390,"Buy-Fin, Buy-Cash",Co-op Agent,"Agent, TC",,SS,1000,-10,Assisted & Autopilot,, ,,Send email with closing information to the target.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer's Agent Closing Information,400,"Sell-Fin, Sell-Cash",Co-op Agent,"Agent, TC",,SS,1000,-10,Assisted & Autopilot,Utility Info, ,,Send email with closing information to the target.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request Testimonials,410,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",Closed,FS,1000,5,Assisted & Autopilot,,,,Send an email to the buyer to request social media and online referrals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request Testimonials,420,"Sell-Fin, Sell-Cash",Seller,"Agent, TC",Closed,FS,1000,5,Assisted & Autopilot,,,,Send an email to the seller to request social media and online referrals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exemptions and Thank You,430,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",,FS,1000,35,Assisted & Autopilot,,,,Send hand written Thank You card and include the exemption reminder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank You,440,"Sell-Fin, Sell-Cash",Seller,"Agent, TC",,FS,1000,35,Assisted & Autopilot,,,,Send hand written Thank You card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Thank You ,450,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Agent,TC,,FS,1000,1,"Manual, Assisted & Autopilot",, ,Email sent for sales purposes to encourage user to use system again and offer 10% discount for their first 3 transactions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Thank You,460,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Co-op Agent,TC,,FS,1000,1,"Manual, Assisted & Autopilot",, ,Email sent for sales purposes to encourage user to use system and offer first transaction as free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule Pick Up of Sign and Lockbox,470,"Sell-Fin, Sell-Cash",Agent,TC,,SS,1000,-5,"Manual, Assisted & Autopilot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change MLS Listing Status to Sold,480,"Sell-Fin, Sell-Cash",Agent,TC,,SS,1000,1,"Manual, Assisted & Autopilot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closing Date,1000,,,,,,,"Date of ""Closing Date"" in the Wizard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of Year Exemption Reminder,1010,"Buy-Fin, Buy-Cash",Buyer,"Agent, TC",,,01-DEC-20XX,,"Manual, Assisted & Autopilot",,,Email is sent to all buyers in the system to remind them to file their tax exemptions by 31-DEC-2026. This will be for all buyers in the current calendar year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task Rule Set,,Anything that is sent  to the buyer is sent to all buyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anything that is sent  to the seller is sent to all sellers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Transaction agent to be CC'd on all communication, regardless of target.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,When a TC is part of a transaction they are also CC'd on all communiations to all parties. This applies to agent and co-op agent. (the co-op agent's TC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If a ""request"" task is sent to a target and there is no response by the next day at 10am local standard time, AI will send a follow up email and copy the transaction agent and TC if applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If a ""request"" task isn't completed 3 days before the due date, then the user is notified each day for 3 days before that they need to step in assist with completing the task. (All AI User Types)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"When a ""request"" task is completed, the ""deliver"" task is populated and completed based on the user AI setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,When appropriate include transaction agent's preferred vendors in buyer and seller scripts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If any reminder tasks are still open when due (or when the system is cued to send a reminder); all AI user types will receive an email (AI user types - Manual, Assisted & Autopilot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Request task types should send on autopilot. They are scripts sent to the target asking for information. E.g., Clear to Close - “Hi <loan officer name>, have you received the CTC from the underwriter yet? If not, when do you expect to receive it?” Then, if the loan officer responds with “Yes, we have the CTC” the AI completes the task. If the answer is no, AI should respond with “when do you expect the CTC?” If the answer is no, it should be by 27-aug. Then the AI should reschedule the task for 27-aug and run a follow up script to ensure they have received the CTC. So, Clear to Close, Closing Disclosure Delivered, closing-information, referrals tasks can all run on Auto if we explain to our agent the nature of these tasks. The Thank You task is simply a delivered email from VE thanking the targets for using the app and requesting them to do so in the future. Also, to be clear, the deliver tasks only happen if AI has parsed an email and finds an attachment or information in the email that matches the requested information. (Utilities can be attached or included in an email, HOA documents will always be an attachment like title work is.) Once the request task goes out and the response is received AI will upload any attachment in the Document Center and complete the delivery task. (Deliver Title, HOA Docs, Utility Info, etc.) If the information isn’t an attachment, it will copy and paste the information (Utility Info) in a script to the target (buyer) and complete the task. So, the “request is done” when the app receives the requested information. If the confidence is low (on autopilot) then it treats the task like Assisted and drafts the email and notifies the transaction agent and/or TC (the user(s)) that manual intervention/review is required to complete the task. (then the learning agent continues to learn how to complete this task for future iterations in our overnight review process).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
